random_state,bert_mlp_base_accuracy,bert_mlp_base_recall,bert_mlp_base_f1,bert_mlp_base_pr_auc,bert_mlp_single_pass_accuracy,bert_mlp_single_pass_recall,bert_mlp_single_pass_f1,bert_mlp_single_pass_pr_auc,bert_mlp_multi_agent_all_accuracy,bert_mlp_multi_agent_all_recall,bert_mlp_multi_agent_all_f1,bert_mlp_multi_agent_all_pr_auc,bert_mlp_multi_agent_lc_accuracy,bert_mlp_multi_agent_lc_recall,bert_mlp_multi_agent_lc_f1,bert_mlp_multi_agent_lc_pr_auc,bert_mlp_multi_agent_cc_accuracy,bert_mlp_multi_agent_cc_recall,bert_mlp_multi_agent_cc_f1,bert_mlp_multi_agent_cc_pr_auc,bert_mlp_multi_agent_ls_accuracy,bert_mlp_multi_agent_ls_recall,bert_mlp_multi_agent_ls_f1,bert_mlp_multi_agent_ls_pr_auc
1,0.9732498577120091,0.7297297297297297,0.7751196172248804,0.8368640077381931,0.9726807057484348,0.6846846846846847,0.76,0.8387932543320223,0.9760956175298805,0.6846846846846847,0.7835051546391752,0.8456005557313866,0.9783722253841776,0.7477477477477478,0.8137254901960784,0.853003809855938,0.9766647694934547,0.7387387387387387,0.8,0.8487080260319139,0.977233921457029,0.7567567567567568,0.8076923076923077,0.8558566569343861
2,0.9778030734206034,0.8108108108108109,0.8219178082191781,0.8712973600720019,0.9783722253841776,0.7927927927927928,0.822429906542056,0.8691644911571118,0.9755264655663062,0.7837837837837838,0.8018433179723502,0.8684048360731178,0.9760956175298805,0.7567567567567568,0.8000000000000002,0.8642337895185794,0.974957313602732,0.8108108108108109,0.8035714285714286,0.8619496077408144,0.9743881616391576,0.7927927927927928,0.7963800904977376,0.8656347454779214
3,0.9715424018212863,0.7117117117117117,0.7596153846153846,0.8558640835029322,0.9721115537848606,0.7117117117117117,0.7632850241545894,0.8450345515205283,0.9726807057484348,0.7297297297297297,0.7714285714285715,0.8474873920205414,0.9726807057484348,0.6936936936936937,0.7623762376237624,0.8361768059218345,0.9721115537848606,0.6936936936936937,0.7586206896551725,0.8361649107081487,0.974957313602732,0.7117117117117117,0.7821782178217822,0.8508039986558528
4,0.9601593625498008,0.8198198198198198,0.7222222222222222,0.7479466623824671,0.9715424018212863,0.8108108108108109,0.7826086956521738,0.8198884398970617,0.9726807057484348,0.8018018018018018,0.7876106194690266,0.7598480644270863,0.970973249857712,0.7657657657657657,0.7692307692307693,0.7571169427366063,0.9715424018212863,0.8108108108108109,0.7826086956521738,0.7862925021124315,0.9743881616391576,0.8198198198198198,0.801762114537445,0.7710022375050563
5,0.9783722253841776,0.7837837837837838,0.8207547169811322,0.906692754121531,0.9760956175298805,0.8288288288288288,0.8141592920353983,0.9096685592590117,0.9789413773477519,0.8198198198198198,0.8310502283105022,0.9042235808266983,0.9778030734206034,0.8198198198198198,0.8235294117647058,0.9067287766492067,0.9795105293113261,0.8108108108108109,0.8333333333333334,0.9102382983437787,0.9778030734206034,0.8108108108108109,0.8219178082191781,0.9035562739747348
6,0.9715424018212863,0.7117117117117117,0.7596153846153846,0.8167886108956581,0.9686966420034149,0.7657657657657657,0.7555555555555554,0.8265665792008924,0.9704040978941377,0.7207207207207207,0.7547169811320755,0.8176627903614084,0.9692657939669892,0.7297297297297297,0.75,0.8107020385221805,0.970973249857712,0.7567567567567568,0.7671232876712328,0.8152490423069756,0.9698349459305634,0.7387387387387387,0.7557603686635945,0.8145603840422195
7,0.974957313602732,0.8468468468468469,0.810344827586207,0.89141182021882,0.9755264655663062,0.8108108108108109,0.8071748878923768,0.8733327541980476,0.9760956175298805,0.7927927927927928,0.8073394495412843,0.8776284916965007,0.9715424018212863,0.7837837837837838,0.7767857142857142,0.866583450029911,0.9755264655663062,0.7927927927927928,0.8036529680365296,0.8720258721445897,0.9760956175298805,0.8108108108108109,0.8108108108108109,0.8707916568297802
8,0.9698349459305634,0.8018018018018018,0.7705627705627706,0.838566392101891,0.9704040978941377,0.7837837837837838,0.7699115044247786,0.8189457991260309,0.9692657939669892,0.7747747747747747,0.7610619469026548,0.8219839784607287,0.9721115537848606,0.8018018018018018,0.7841409691629956,0.831489538354339,0.974957313602732,0.8018018018018018,0.8018018018018018,0.8354392624688745,0.970973249857712,0.7837837837837838,0.7733333333333334,0.8425949097118915
9,0.9766647694934547,0.8198198198198198,0.8161434977578474,0.8707100760478215,0.9760956175298805,0.8288288288288288,0.8141592920353983,0.8824077210763018,0.9755264655663062,0.8198198198198198,0.8088888888888889,0.8742565168336627,0.9738190096755834,0.7927927927927928,0.7927927927927928,0.855237225066271,0.977233921457029,0.7927927927927928,0.8148148148148148,0.865192282467722,0.9715424018212863,0.8378378378378378,0.7881355932203389,0.8676156933531478
10,0.9721115537848606,0.7567567567567568,0.7741935483870969,0.8271327467204096,0.9743881616391576,0.7207207207207207,0.7804878048780488,0.8176189367277548,0.974957313602732,0.7747747747747747,0.7962962962962963,0.849110555526393,0.974957313602732,0.7117117117117117,0.7821782178217822,0.8395708162266081,0.974957313602732,0.7387387387387387,0.7884615384615383,0.8406859253261991,0.9715424018212863,0.7297297297297297,0.7641509433962265,0.8167404794502829
11,0.9721115537848606,0.7387387387387387,0.7699530516431926,0.8233617797881276,0.9704040978941377,0.7477477477477478,0.7614678899082569,0.8144095910571608,0.9715424018212863,0.7387387387387387,0.7663551401869159,0.8294504576436177,0.970973249857712,0.7477477477477478,0.7649769585253458,0.8108883984862638,0.9698349459305634,0.7297297297297297,0.7534883720930232,0.8106764144487779,0.9704040978941377,0.7117117117117117,0.7523809523809525,0.8144543050584182
12,0.9743881616391576,0.8108108108108109,0.8,0.893738841290025,0.9743881616391576,0.8648648648648649,0.810126582278481,0.8968390556461756,0.9743881616391576,0.8288288288288288,0.8034934497816594,0.8979967616400292,0.9732498577120091,0.8468468468468469,0.7999999999999999,0.9007159960757192,0.9732498577120091,0.8378378378378378,0.7982832618025751,0.8952094297976663,0.9778030734206034,0.8198198198198198,0.8235294117647058,0.8867210823218649
13,0.9738190096755834,0.7567567567567568,0.7850467289719626,0.8481660383543371,0.970973249857712,0.7747747747747747,0.7713004484304933,0.8243819145072544,0.9721115537848606,0.7117117117117117,0.7632850241545894,0.8263254185059674,0.9715424018212863,0.7297297297297297,0.7641509433962265,0.8344362316019556,0.9726807057484348,0.7207207207207207,0.7692307692307693,0.8381224062232752,0.9721115537848606,0.7477477477477478,0.772093023255814,0.8501951224217577
14,0.9766647694934547,0.7207207207207207,0.7960199004975124,0.8526744600699911,0.9732498577120091,0.7477477477477478,0.7793427230046949,0.8340187264589086,0.9721115537848606,0.7567567567567568,0.7741935483870969,0.8411542958517532,0.9732498577120091,0.7567567567567568,0.7813953488372093,0.8279479774609861,0.9726807057484348,0.7567567567567568,0.7777777777777778,0.8328586424919114,0.9743881616391576,0.7657657657657657,0.7906976744186046,0.8567086584324038
15,0.9783722253841776,0.7747747747747747,0.8190476190476191,0.8610120934417936,0.9778030734206034,0.7927927927927928,0.8186046511627907,0.8760034318456166,0.9766647694934547,0.8108108108108109,0.8144796380090498,0.876750253528078,0.9789413773477519,0.8108108108108109,0.8294930875576036,0.8700590869702222,0.9800796812749004,0.7837837837837838,0.8325358851674641,0.8693444101513035,0.9778030734206034,0.7927927927927928,0.8186046511627907,0.8622246650720273
16,0.9669891861126921,0.6216216216216216,0.7040816326530612,0.761396947086643,0.9675583380762663,0.6576576576576577,0.7192118226600985,0.7692965716485337,0.970973249857712,0.6846846846846847,0.7487684729064039,0.7729346742433341,0.9738190096755834,0.6846846846846847,0.7676767676767677,0.7688861006357373,0.9715424018212863,0.6576576576576577,0.7448979591836735,0.7781190176197903,0.9675583380762663,0.7027027027027027,0.7323943661971832,0.7799096198596854
17,0.9721115537848606,0.7297297297297297,0.7677725118483413,0.8402441023365089,0.9686966420034149,0.7657657657657657,0.7555555555555554,0.8420413217638814,0.9755264655663062,0.8018018018018018,0.8054298642533936,0.8444543619632388,0.9755264655663062,0.8018018018018018,0.8054298642533936,0.8433863246100275,0.9743881616391576,0.7747747747747747,0.792626728110599,0.8476731240721246,0.9692657939669892,0.7927927927927928,0.7652173913043478,0.8416192399447043
18,0.9732498577120091,0.7567567567567568,0.7813953488372093,0.8356698054361138,0.974957313602732,0.7477477477477478,0.7904761904761904,0.8348585596503623,0.974957313602732,0.7747747747747747,0.7962962962962963,0.8407509539106427,0.9755264655663062,0.7657657657657657,0.7981220657276996,0.8373133062544906,0.9755264655663062,0.7477477477477478,0.7942583732057418,0.8362691236943178,0.9755264655663062,0.7567567567567568,0.7962085308056872,0.8336401766244831
19,0.9738190096755834,0.7207207207207207,0.7766990291262136,0.8350737564156178,0.9704040978941377,0.6486486486486487,0.7346938775510203,0.8095092654052598,0.9704040978941377,0.6846846846846847,0.7450980392156864,0.8145678399439503,0.9715424018212863,0.6666666666666666,0.7474747474747474,0.8249921688116977,0.9732498577120091,0.7027027027027027,0.7684729064039408,0.8074589743242616,0.9698349459305634,0.6576576576576577,0.7336683417085428,0.8000487128219655
20,0.974957313602732,0.7297297297297297,0.7864077669902912,0.8447922473658771,0.9766647694934547,0.7297297297297297,0.7980295566502463,0.8455039677208785,0.9760956175298805,0.7477477477477478,0.798076923076923,0.8535300647036177,0.9778030734206034,0.7477477477477478,0.8097560975609756,0.8511891703799721,0.9778030734206034,0.7657657657657657,0.8133971291866028,0.8503392078573869,0.974957313602732,0.7387387387387387,0.7884615384615383,0.8450625172532438
21,0.9726807057484348,0.7927927927927928,0.7857142857142857,0.8514730185216736,0.9743881616391576,0.8288288288288288,0.8034934497816594,0.8721894860585425,0.9669891861126921,0.8198198198198198,0.7583333333333334,0.8522228293759172,0.974957313602732,0.8018018018018018,0.8018018018018018,0.8765779227813375,0.9675583380762663,0.7837837837837838,0.7532467532467533,0.8598500172019308,0.9721115537848606,0.7927927927927928,0.7822222222222222,0.8607095481032224
22,0.9760956175298805,0.8108108108108109,0.8108108108108109,0.8666063192277423,0.977233921457029,0.7657657657657657,0.8095238095238094,0.8777710551654551,0.9778030734206034,0.7837837837837838,0.8169014084507041,0.86860507385404,0.977233921457029,0.8198198198198198,0.8198198198198198,0.8718170945036494,0.9743881616391576,0.7657657657657657,0.7906976744186046,0.8745385759346903,0.9766647694934547,0.7657657657657657,0.8056872037914692,0.8720888938320321
23,0.9755264655663062,0.8018018018018018,0.8054298642533936,0.8607144892934504,0.9732498577120091,0.7747747747747747,0.7853881278538812,0.8588347280081448,0.9743881616391576,0.8018018018018018,0.7982062780269059,0.8507123403582977,0.974957313602732,0.7927927927927928,0.8,0.8599354449287937,0.9738190096755834,0.7567567567567568,0.7850467289719626,0.8515061231763471,0.977233921457029,0.8108108108108109,0.8181818181818182,0.8703973835807004
24,0.977233921457029,0.7837837837837838,0.8130841121495326,0.867601467788613,0.9760956175298805,0.7657657657657657,0.80188679245283,0.8681386949065428,0.977233921457029,0.8018018018018018,0.8165137614678899,0.8635320430250131,0.9766647694934547,0.7837837837837838,0.8093023255813953,0.8694793035683778,0.9789413773477519,0.7837837837837838,0.8246445497630331,0.8625024902182264,0.9760956175298805,0.7567567567567568,0.8000000000000002,0.8560914344314433
25,0.9760956175298805,0.7477477477477478,0.798076923076923,0.844830383478437,0.977233921457029,0.7297297297297297,0.8019801980198019,0.8673891959339675,0.9738190096755834,0.7387387387387387,0.780952380952381,0.8657842684092691,0.9766647694934547,0.7477477477477478,0.8019323671497585,0.8620509018411403,0.9778030734206034,0.7297297297297297,0.8059701492537312,0.8597007939487882,0.977233921457029,0.7837837837837838,0.8130841121495326,0.8691859671273114
26,0.9658508821855435,0.6936936936936937,0.719626168224299,0.7969706260602034,0.970973249857712,0.7297297297297297,0.7605633802816901,0.8097684948993824,0.970973249857712,0.7207207207207207,0.7582938388625592,0.8103355580332939,0.9692657939669892,0.7567567567567568,0.7567567567567567,0.8012721309173353,0.9721115537848606,0.7387387387387387,0.7699530516431926,0.8047384191267538,0.9692657939669892,0.6846846846846847,0.737864077669903,0.7992290101908884
27,0.9743881616391576,0.6756756756756757,0.7692307692307693,0.8213597541054921,0.970973249857712,0.7027027027027027,0.7536231884057971,0.8024065369645256,0.9715424018212863,0.6936936936936937,0.7549019607843137,0.8077670208106101,0.9743881616391576,0.7297297297297297,0.7826086956521738,0.820883526549346,0.9726807057484348,0.7117117117117117,0.7669902912621359,0.8118713789223941,0.9715424018212863,0.6756756756756757,0.75,0.8281593105347791
28,0.977233921457029,0.8018018018018018,0.8165137614678899,0.8914399505255552,0.981217985202049,0.8108108108108109,0.8450704225352113,0.9137271995881671,0.9766647694934547,0.8108108108108109,0.8144796380090498,0.8981425718420648,0.9783722253841776,0.8018018018018018,0.8240740740740742,0.9026649890000472,0.9852020489470689,0.8558558558558559,0.8796296296296297,0.9166668548176715,0.9783722253841776,0.8018018018018018,0.8240740740740742,0.8879105118328423
29,0.9760956175298805,0.7747747747747747,0.8037383177570093,0.8689329820583857,0.9755264655663062,0.8018018018018018,0.8054298642533936,0.8744547868811697,0.9766647694934547,0.7837837837837838,0.8093023255813953,0.8861403884633713,0.9783722253841776,0.7747747747747747,0.8190476190476191,0.8847312221145114,0.9766647694934547,0.7927927927927928,0.8110599078341014,0.8839125314092221,0.9783722253841776,0.7837837837837838,0.8207547169811322,0.8869763566769746
30,0.9743881616391576,0.7297297297297297,0.7826086956521738,0.850322748812798,0.9743881616391576,0.7207207207207207,0.7804878048780488,0.8522708080043706,0.9743881616391576,0.7477477477477478,0.7867298578199052,0.8400779858843059,0.9732498577120091,0.7747747747747747,0.7853881278538812,0.8225412618482578,0.9755264655663062,0.7387387387387387,0.7922705314009663,0.8462111857155549,0.970973249857712,0.7747747747747747,0.7713004484304933,0.842274779590813
31,0.9721115537848606,0.7477477477477478,0.772093023255814,0.8426547674653391,0.9715424018212863,0.7117117117117117,0.7596153846153846,0.8393214069784432,0.9715424018212863,0.6756756756756757,0.75,0.8242838556381465,0.9726807057484348,0.7387387387387387,0.7735849056603774,0.8398995336171589,0.9721115537848606,0.7477477477477478,0.772093023255814,0.8278430799801515,0.9732498577120091,0.6936936936936937,0.7661691542288557,0.8377143005447784
32,0.9755264655663062,0.7747747747747747,0.8,0.8756989493128619,0.977233921457029,0.8378378378378378,0.8230088495575221,0.8827704327339864,0.977233921457029,0.8198198198198198,0.8198198198198198,0.8877543095894859,0.9778030734206034,0.8018018018018018,0.8202764976958524,0.8812443844570707,0.9743881616391576,0.8018018018018018,0.7982062780269059,0.880637623198237,0.9789413773477519,0.8018018018018018,0.8279069767441861,0.8774902803197565
33,0.9686966420034149,0.7657657657657657,0.7555555555555554,0.8185694596912305,0.9726807057484348,0.7837837837837838,0.7837837837837838,0.852757577418276,0.9715424018212863,0.8018018018018018,0.7807017543859649,0.8586772073520758,0.9732498577120091,0.7837837837837838,0.7873303167420813,0.8470583298421083,0.9726807057484348,0.8018018018018018,0.7876106194690266,0.8472469827496197,0.9732498577120091,0.7747747747747747,0.7853881278538812,0.8562791645562778
34,0.9664200341491178,0.6576576576576577,0.7121951219512195,0.7951101352431518,0.9732498577120091,0.7027027027027027,0.7684729064039408,0.8344205443887778,0.9726807057484348,0.6486486486486487,0.75,0.81537715241926,0.970973249857712,0.6846846846846847,0.7487684729064039,0.8119946886086092,0.9760956175298805,0.7027027027027027,0.787878787878788,0.82375543802981,0.9704040978941377,0.6846846846846847,0.7450980392156864,0.8112066588577631
35,0.9721115537848606,0.7117117117117117,0.7632850241545894,0.842450199276732,0.9721115537848606,0.7027027027027027,0.7609756097560975,0.8503620873751498,0.9778030734206034,0.7477477477477478,0.8097560975609756,0.8618644845642143,0.977233921457029,0.7477477477477478,0.8058252427184467,0.8586548374140678,0.9755264655663062,0.7207207207207207,0.7881773399014778,0.8561420369434831,0.9743881616391576,0.7387387387387387,0.784688995215311,0.8457052382961815
36,0.9715424018212863,0.7567567567567568,0.7706422018348625,0.8461385991699019,0.9738190096755834,0.7657657657657657,0.787037037037037,0.8574771747008753,0.9760956175298805,0.7657657657657657,0.80188679245283,0.8805550297963288,0.9726807057484348,0.7477477477477478,0.7757009345794393,0.8581453512397816,0.9738190096755834,0.7747747747747747,0.7889908256880734,0.8689495454746969,0.9732498577120091,0.7207207207207207,0.7729468599033817,0.8539114607183478
37,0.9715424018212863,0.6666666666666666,0.7474747474747474,0.8034100603202066,0.9721115537848606,0.6756756756756757,0.7537688442211056,0.8204689538999024,0.9692657939669892,0.6576576576576577,0.7300000000000001,0.8013770448588122,0.9692657939669892,0.6756756756756757,0.7352941176470588,0.8196247513274317,0.9686966420034149,0.6846846846846847,0.7342995169082125,0.823284145124505,0.9681274900398407,0.6396396396396397,0.7171717171717172,0.800155810365741
38,0.9778030734206034,0.7747747747747747,0.8151658767772512,0.8581865841000453,0.977233921457029,0.8018018018018018,0.8165137614678899,0.8917352784252977,0.9789413773477519,0.8018018018018018,0.8279069767441861,0.9000820883819477,0.9789413773477519,0.7927927927927928,0.8262910798122066,0.9029064228963118,0.9789413773477519,0.8108108108108109,0.8294930875576036,0.9038010655120527,0.9766647694934547,0.7927927927927928,0.8110599078341014,0.8812115776768127
39,0.9760956175298805,0.7117117117117117,0.7899999999999999,0.8466399415475218,0.9738190096755834,0.7567567567567568,0.7850467289719626,0.8519726809366104,0.9738190096755834,0.7747747747747747,0.7889908256880734,0.8441245650008351,0.9721115537848606,0.7567567567567568,0.7741935483870969,0.8342044933987531,0.9726807057484348,0.7387387387387387,0.7735849056603774,0.8408643790412741,0.9760956175298805,0.7567567567567568,0.8000000000000002,0.8420929419123878
40,0.970973249857712,0.7747747747747747,0.7713004484304933,0.8271605827625234,0.9715424018212863,0.7567567567567568,0.7706422018348625,0.8273996142643938,0.9726807057484348,0.7567567567567568,0.7777777777777778,0.8283521442303641,0.9721115537848606,0.7027027027027027,0.7609756097560975,0.8262412519614848,0.9664200341491178,0.7297297297297297,0.7330316742081446,0.8145837105494661,0.9738190096755834,0.7567567567567568,0.7850467289719626,0.8209831963820643
41,0.9715424018212863,0.7477477477477478,0.7685185185185186,0.8140518356674823,0.9732498577120091,0.7657657657657657,0.783410138248848,0.8408041841276749,0.9732498577120091,0.7927927927927928,0.789237668161435,0.8380705672746865,0.9698349459305634,0.7657657657657657,0.7623318385650223,0.8369043661864994,0.9726807057484348,0.7657657657657657,0.7798165137614678,0.8261779635133806,0.9738190096755834,0.7657657657657657,0.787037037037037,0.8369714705521679
42,0.9698349459305634,0.7747747747747747,0.7644444444444445,0.7525942152360808,0.9692657939669892,0.7207207207207207,0.7476635514018692,0.7869842911236262,0.9686966420034149,0.7297297297297297,0.7465437788018433,0.822833453200416,0.9755264655663062,0.7567567567567568,0.7962085308056872,0.8372562873144492,0.9669891861126921,0.7117117117117117,0.7314814814814815,0.8223113849642643,0.9726807057484348,0.6846846846846847,0.76,0.8194640241188443
43,0.9743881616391576,0.7747747747747747,0.792626728110599,0.8665114826612108,0.9783722253841776,0.8288288288288288,0.8288288288288288,0.8873240803597856,0.977233921457029,0.8018018018018018,0.8165137614678899,0.8867348466071812,0.9766647694934547,0.7747747747747747,0.8075117370892019,0.8786694300484398,0.9738190096755834,0.7927927927927928,0.7927927927927928,0.8722798483527548,0.9738190096755834,0.8018018018018018,0.7946428571428571,0.8759065871240236
44,0.9743881616391576,0.6846846846846847,0.7715736040609138,0.8110288041515369,0.9726807057484348,0.7027027027027027,0.7647058823529411,0.8362616340444696,0.9755264655663062,0.7117117117117117,0.7860696517412935,0.8385039412289096,0.9698349459305634,0.7207207207207207,0.7511737089201878,0.8179556339654845,0.9738190096755834,0.7027027027027027,0.7722772277227723,0.8357635569724975,0.974957313602732,0.7027027027027027,0.78,0.8313667024290572
45,0.9760956175298805,0.8108108108108109,0.8108108108108109,0.8547147776092373,0.9760956175298805,0.7837837837837838,0.8055555555555555,0.8566390173103857,0.9738190096755834,0.8018018018018018,0.7946428571428571,0.8398643045630076,0.9778030734206034,0.8198198198198198,0.8235294117647058,0.8518303099469586,0.9743881616391576,0.8108108108108109,0.8,0.8297775418189284,0.9738190096755834,0.7927927927927928,0.7927927927927928,0.8364409641576124
46,0.9738190096755834,0.7837837837837838,0.7909090909090909,0.8524647834412329,0.9800796812749004,0.7747747747747747,0.8309178743961353,0.8854588359058879,0.9778030734206034,0.8108108108108109,0.8219178082191781,0.8670483519802681,0.9766647694934547,0.7927927927927928,0.8110599078341014,0.847576768511994,0.9778030734206034,0.8198198198198198,0.8235294117647058,0.8641541670080719,0.9789413773477519,0.7747747747747747,0.8229665071770335,0.8330996808958815
47,0.970973249857712,0.7477477477477478,0.7649769585253458,0.834580931809321,0.977233921457029,0.7657657657657657,0.8095238095238094,0.8626672724651663,0.9721115537848606,0.7477477477477478,0.772093023255814,0.8425374950293709,0.977233921457029,0.7387387387387387,0.803921568627451,0.8350291636676206,0.9760956175298805,0.7837837837837838,0.8055555555555555,0.8579255956637953,0.9766647694934547,0.7657657657657657,0.8056872037914692,0.8584911628159614
48,0.9795105293113261,0.7657657657657657,0.825242718446602,0.8722883593367166,0.9800796812749004,0.8108108108108109,0.8372093023255813,0.8949634044440364,0.9778030734206034,0.7657657657657657,0.8133971291866028,0.8695695382385141,0.9789413773477519,0.8198198198198198,0.8310502283105022,0.8981654694515164,0.9755264655663062,0.8018018018018018,0.8054298642533936,0.8789870042660411,0.9789413773477519,0.7567567567567568,0.8195121951219513,0.8665657796226652
49,0.9743881616391576,0.7207207207207207,0.7804878048780488,0.8181723195217407,0.9715424018212863,0.7207207207207207,0.7619047619047618,0.7969927311809868,0.9704040978941377,0.7297297297297297,0.7570093457943925,0.8135512190415295,0.9715424018212863,0.7387387387387387,0.7663551401869159,0.8155785101064336,0.9704040978941377,0.7027027027027027,0.7499999999999999,0.8070144048645814,0.9664200341491178,0.7297297297297297,0.7330316742081446,0.7993589116428752
50,0.981217985202049,0.7657657657657657,0.8374384236453201,0.8722144923773779,0.9795105293113261,0.7927927927927928,0.8301886792452831,0.8779052416061467,0.9760956175298805,0.8018018018018018,0.8090909090909092,0.86763641423304,0.9783722253841776,0.8108108108108109,0.8256880733944955,0.863969972487954,0.9766647694934547,0.8198198198198198,0.8161434977578474,0.8701432034390729,0.9795105293113261,0.8108108108108109,0.8333333333333334,0.8651564340482122
