random_state,rf_base_accuracy,rf_base_recall,rf_base_f1,rf_base_pr_auc,rf_single_pass_accuracy,rf_single_pass_recall,rf_single_pass_f1,rf_single_pass_pr_auc,rf_multi_agent_all_accuracy,rf_multi_agent_all_recall,rf_multi_agent_all_f1,rf_multi_agent_all_pr_auc,rf_multi_agent_lc_accuracy,rf_multi_agent_lc_recall,rf_multi_agent_lc_f1,rf_multi_agent_lc_pr_auc,rf_multi_agent_cc_accuracy,rf_multi_agent_cc_recall,rf_multi_agent_cc_f1,rf_multi_agent_cc_pr_auc,rf_multi_agent_ls_accuracy,rf_multi_agent_ls_recall,rf_multi_agent_ls_f1,rf_multi_agent_ls_pr_auc
1,0.9778030734206034,0.6576576576576577,0.7891891891891892,0.9183324448981769,0.9795105293113261,0.6936936936936937,0.8105263157894738,0.9110029558793796,0.977233921457029,0.6666666666666666,0.7872340425531914,0.9072857726313222,0.9783722253841776,0.6666666666666666,0.7956989247311829,0.9057208953313948,0.9783722253841776,0.6846846846846847,0.8,0.9113173500962317,0.977233921457029,0.6666666666666666,0.7872340425531914,0.9039712991029066
2,0.981217985202049,0.7027027027027027,0.8253968253968255,0.9343627567256049,0.983494593056346,0.7477477477477478,0.8512820512820515,0.928680861949095,0.9817871371656233,0.7207207207207207,0.8333333333333333,0.9252054239993308,0.9840637450199203,0.7567567567567568,0.8571428571428572,0.9217803486128359,0.9829254410927718,0.7297297297297297,0.8437499999999999,0.9133196278008215,0.983494593056346,0.7387387387387387,0.8497409326424871,0.923757793482327
3,0.9789413773477519,0.6846846846846847,0.8042328042328043,0.9167531583672842,0.9789413773477519,0.6936936936936937,0.806282722513089,0.9203471647588103,0.9783722253841776,0.6756756756756757,0.797872340425532,0.9120606063809191,0.977233921457029,0.6576576576576577,0.7849462365591398,0.9132064847488451,0.9778030734206034,0.6666666666666666,0.7914438502673797,0.9124246123250359,0.9778030734206034,0.6756756756756757,0.7936507936507937,0.9032984695208766
4,0.9806488332384746,0.7297297297297297,0.826530612244898,0.9315812949463368,0.9817871371656233,0.7477477477477478,0.8383838383838385,0.925746458262469,0.983494593056346,0.7657657657657657,0.8542713567839195,0.9268359223876068,0.9840637450199203,0.7747747747747747,0.86,0.9293449822039517,0.9823562891291975,0.7477477477477478,0.8426395939086295,0.9248063446517385,0.981217985202049,0.7387387387387387,0.8324873096446701,0.9293012501611775
5,0.9817871371656233,0.7297297297297297,0.8350515463917526,0.9412280553336616,0.9840637450199203,0.7567567567567568,0.8571428571428572,0.9407956807706894,0.9823562891291975,0.7297297297297297,0.8393782383419688,0.9480953847404032,0.9817871371656233,0.7297297297297297,0.8350515463917526,0.9474421044226049,0.9823562891291975,0.7387387387387387,0.8410256410256409,0.9419530449318761,0.983494593056346,0.7567567567567568,0.8527918781725888,0.9449623747892562
6,0.9829254410927718,0.7297297297297297,0.8437499999999999,0.9203040178873855,0.9840637450199203,0.7567567567567568,0.8571428571428572,0.9248148297943629,0.9823562891291975,0.7297297297297297,0.8393782383419688,0.9249127291840231,0.9823562891291975,0.7387387387387387,0.8410256410256409,0.9229425933321832,0.983494593056346,0.7387387387387387,0.8497409326424871,0.9113745733938093,0.9806488332384746,0.7027027027027027,0.8210526315789474,0.9207445499151451
7,0.9817871371656233,0.7297297297297297,0.8350515463917526,0.9427302738342441,0.9846328969834945,0.7837837837837838,0.8656716417910447,0.952840663993172,0.983494593056346,0.7567567567567568,0.8527918781725888,0.9470738405415371,0.9823562891291975,0.7387387387387387,0.8410256410256409,0.9450354148313899,0.9829254410927718,0.7657657657657657,0.85,0.9405175414456388,0.9829254410927718,0.7567567567567568,0.8484848484848485,0.9408584647480465
8,0.9806488332384746,0.7387387387387387,0.8282828282828283,0.9018839382275203,0.9806488332384746,0.7207207207207207,0.8247422680412371,0.9097393303316885,0.9783722253841776,0.7027027027027027,0.8041237113402062,0.9052026255635652,0.9795105293113261,0.7207207207207207,0.8163265306122449,0.9035535399501586,0.981217985202049,0.7297297297297297,0.8307692307692307,0.91222158781194,0.9795105293113261,0.7117117117117117,0.8144329896907216,0.8968524920895805
9,0.983494593056346,0.7567567567567568,0.8527918781725888,0.9313629062980207,0.9846328969834945,0.7927927927927928,0.8669950738916256,0.9438326104750099,0.9840637450199203,0.7747747747747747,0.86,0.9341290546891129,0.9857712009106432,0.7927927927927928,0.8756218905472637,0.940095116604265,0.983494593056346,0.7657657657657657,0.8542713567839195,0.936883425660362,0.9857712009106432,0.7927927927927928,0.8756218905472637,0.9336019238572171
10,0.9738190096755834,0.6216216216216216,0.75,0.8757276491647801,0.9766647694934547,0.6756756756756757,0.7853403141361257,0.8899783734679035,0.9743881616391576,0.6306306306306306,0.7567567567567568,0.8901699446302682,0.9766647694934547,0.6576576576576577,0.7807486631016042,0.8752521125043071,0.977233921457029,0.6666666666666666,0.7872340425531914,0.8884342396698313,0.9755264655663062,0.6486486486486487,0.770053475935829,0.8813756888325958
11,0.981217985202049,0.7117117117117117,0.8272251308900522,0.9273844116262047,0.9823562891291975,0.7297297297297297,0.8393782383419688,0.9194227498818792,0.9823562891291975,0.7207207207207207,0.837696335078534,0.9226512380807487,0.9823562891291975,0.7207207207207207,0.837696335078534,0.9271125408422093,0.9829254410927718,0.7387387387387387,0.8453608247422681,0.9266414522507544,0.983494593056346,0.7387387387387387,0.8497409326424871,0.9285420155555718
12,0.9800796812749004,0.7567567567567568,0.8275862068965518,0.9351481279842752,0.9783722253841776,0.7477477477477478,0.8137254901960784,0.9314575789275559,0.9806488332384746,0.7747747747747747,0.8349514563106797,0.9280618326555468,0.9817871371656233,0.7657657657657657,0.8415841584158416,0.9302190273627957,0.9840637450199203,0.8108108108108109,0.8653846153846155,0.9439217674977614,0.9840637450199203,0.8018018018018018,0.8640776699029127,0.9308263105530636
13,0.9800796812749004,0.7117117117117117,0.8186528497409327,0.9073716484235239,0.9795105293113261,0.7027027027027027,0.8125,0.9084066551074623,0.9806488332384746,0.7117117117117117,0.8229166666666666,0.9138926771852899,0.9800796812749004,0.7027027027027027,0.8167539267015707,0.9140710459704747,0.9817871371656233,0.7387387387387387,0.836734693877551,0.9165948682803005,0.9806488332384746,0.7117117117117117,0.8229166666666666,0.9315094616451483
14,0.9846328969834945,0.7567567567567568,0.8615384615384616,0.951677665097457,0.9829254410927718,0.7477477477477478,0.8469387755102041,0.9431336610607861,0.983494593056346,0.7567567567567568,0.8527918781725888,0.944164774252628,0.9823562891291975,0.7387387387387387,0.8410256410256409,0.9402806344367116,0.9823562891291975,0.7477477477477478,0.8426395939086295,0.9452767386790082,0.983494593056346,0.7567567567567568,0.8527918781725888,0.944029604736864
15,0.9800796812749004,0.7297297297297297,0.8223350253807107,0.9150828026332176,0.9789413773477519,0.7027027027027027,0.8082901554404146,0.9104815435060245,0.9783722253841776,0.6936936936936937,0.8020833333333333,0.9029917831135703,0.9789413773477519,0.7117117117117117,0.8102564102564102,0.9072410673900579,0.9800796812749004,0.7117117117117117,0.8186528497409327,0.9118186220584061,0.9800796812749004,0.7117117117117117,0.8186528497409327,0.9235311523104583
16,0.9760956175298805,0.6306306306306306,0.7692307692307692,0.8549441450858865,0.974957313602732,0.6486486486486487,0.7659574468085106,0.8673858642003747,0.977233921457029,0.6576576576576577,0.7849462365591398,0.8723319767937301,0.9778030734206034,0.6666666666666666,0.7914438502673797,0.8771537172094553,0.9732498577120091,0.6126126126126126,0.7431693989071038,0.8759734169257494,0.974957313602732,0.6576576576576577,0.768421052631579,0.8722579167697889
17,0.9806488332384746,0.7117117117117117,0.8229166666666666,0.9435828841813492,0.9829254410927718,0.7387387387387387,0.8453608247422681,0.9451100605949214,0.9823562891291975,0.7297297297297297,0.8393782383419688,0.9343497269856553,0.9817871371656233,0.7297297297297297,0.8350515463917526,0.9323088592997365,0.9829254410927718,0.7387387387387387,0.8453608247422681,0.939909940431195,0.981217985202049,0.7027027027027027,0.8253968253968255,0.9395980054581883
18,0.9806488332384746,0.7297297297297297,0.826530612244898,0.9376810828083643,0.9829254410927718,0.7657657657657657,0.85,0.9412855517318,0.9800796812749004,0.7297297297297297,0.8223350253807107,0.9233494978558355,0.9823562891291975,0.7567567567567568,0.8442211055276383,0.9415404061293777,0.9823562891291975,0.7747747747747747,0.8472906403940887,0.9317961244640243,0.983494593056346,0.7747747747747747,0.8557213930348259,0.9416788238216149
19,0.9800796812749004,0.7207207207207207,0.8205128205128205,0.9191466395500272,0.9800796812749004,0.7207207207207207,0.8205128205128205,0.9293888883559406,0.9806488332384746,0.7117117117117117,0.8229166666666666,0.9267441211002037,0.9789413773477519,0.7027027027027027,0.8082901554404146,0.9088144862484632,0.9783722253841776,0.6846846846846847,0.8,0.9230317130375765,0.9789413773477519,0.6936936936936937,0.806282722513089,0.9154325145184846
20,0.9817871371656233,0.7207207207207207,0.8333333333333333,0.9133444173561521,0.9817871371656233,0.7117117117117117,0.8315789473684211,0.9203741598877287,0.9795105293113261,0.6936936936936937,0.8105263157894738,0.9114850133426879,0.9795105293113261,0.7027027027027027,0.8125,0.9154646599708472,0.981217985202049,0.7117117117117117,0.8272251308900522,0.9233957449421039,0.9806488332384746,0.7117117117117117,0.8229166666666666,0.9170156379177941
21,0.9806488332384746,0.7207207207207207,0.8247422680412371,0.9329402358051626,0.983494593056346,0.7567567567567568,0.8527918781725888,0.9317589171829993,0.9852020489470689,0.7747747747747747,0.8686868686868687,0.9400502865784939,0.981217985202049,0.7207207207207207,0.8290155440414507,0.9360178989606265,0.983494593056346,0.7747747747747747,0.8557213930348259,0.9322497722362493,0.9823562891291975,0.7477477477477478,0.8426395939086295,0.9452684412842304
22,0.9817871371656233,0.7207207207207207,0.8333333333333333,0.9039310340601736,0.983494593056346,0.7387387387387387,0.8497409326424871,0.9112348250530089,0.9806488332384746,0.6936936936936937,0.8191489361702128,0.9105034046242726,0.981217985202049,0.7117117117117117,0.8272251308900522,0.9048391750173033,0.983494593056346,0.7477477477477478,0.8512820512820515,0.900488790828222,0.9823562891291975,0.7297297297297297,0.8393782383419688,0.9008896921817322
23,0.9823562891291975,0.7477477477477478,0.8426395939086295,0.9168258873501063,0.9823562891291975,0.7657657657657657,0.845771144278607,0.9264526331510126,0.9823562891291975,0.7477477477477478,0.8426395939086295,0.9209144231713717,0.983494593056346,0.7747747747747747,0.8557213930348259,0.9291541505931123,0.981217985202049,0.7297297297297297,0.8307692307692307,0.9320586813163635,0.9817871371656233,0.7387387387387387,0.836734693877551,0.9320119066701441
24,0.9823562891291975,0.7477477477477478,0.8426395939086295,0.9291177912726674,0.9806488332384746,0.7297297297297297,0.826530612244898,0.9357470477148976,0.9846328969834945,0.7657657657657657,0.8629441624365481,0.9327166155698645,0.983494593056346,0.7657657657657657,0.8542713567839195,0.9208591905777598,0.9829254410927718,0.7477477477477478,0.8469387755102041,0.9328810492804076,0.9823562891291975,0.7477477477477478,0.8426395939086295,0.9179495434922615
25,0.9778030734206034,0.6576576576576577,0.7891891891891892,0.9299288489603562,0.9800796812749004,0.6936936936936937,0.8148148148148149,0.9439671742152241,0.9795105293113261,0.6936936936936937,0.8105263157894738,0.9258179021524225,0.9817871371656233,0.7207207207207207,0.8333333333333333,0.9395642252446291,0.9783722253841776,0.6666666666666666,0.7956989247311829,0.936777985322431,0.981217985202049,0.7117117117117117,0.8272251308900522,0.9363276638007811
26,0.9789413773477519,0.6846846846846847,0.8042328042328043,0.9160941192038378,0.9800796812749004,0.6936936936936937,0.8148148148148149,0.9141699459125208,0.9795105293113261,0.6936936936936937,0.8105263157894738,0.9083643421486611,0.9806488332384746,0.7027027027027027,0.8210526315789474,0.9259212463303299,0.9778030734206034,0.6756756756756757,0.7936507936507937,0.9192281607030085,0.9783722253841776,0.6846846846846847,0.8,0.9135609515120393
27,0.9743881616391576,0.6036036036036037,0.7486033519553074,0.8734411793572886,0.9715424018212863,0.5585585585585585,0.7126436781609196,0.8607787830086436,0.9721115537848606,0.5765765765765766,0.7231638418079097,0.8715012361373374,0.9732498577120091,0.5855855855855856,0.7344632768361582,0.8823880517193904,0.9715424018212863,0.5585585585585585,0.7126436781609196,0.8757433293206731,0.9743881616391576,0.6036036036036037,0.7486033519553074,0.8740636790154132
28,0.9857712009106432,0.7927927927927928,0.8756218905472637,0.9426905350225556,0.9852020489470689,0.7657657657657657,0.8673469387755102,0.9525397418706861,0.9869095048377917,0.7927927927927928,0.8844221105527639,0.9521799095088785,0.9857712009106432,0.7837837837837838,0.8743718592964823,0.9515511311059981,0.9869095048377917,0.8018018018018018,0.8855721393034827,0.9373353125282744,0.9852020489470689,0.7657657657657657,0.8673469387755102,0.9557275314076519
29,0.9817871371656233,0.7297297297297297,0.8350515463917526,0.9331823424459067,0.9840637450199203,0.7477477477477478,0.8556701030927836,0.9334280190875266,0.9846328969834945,0.7657657657657657,0.8629441624365481,0.9490121424825735,0.9840637450199203,0.7477477477477478,0.8556701030927836,0.9408971983725569,0.983494593056346,0.7387387387387387,0.8497409326424871,0.9329928696647616,0.9840637450199203,0.7477477477477478,0.8556701030927836,0.9440346134053641
30,0.9789413773477519,0.7027027027027027,0.8082901554404146,0.913203651579159,0.981217985202049,0.7207207207207207,0.8290155440414507,0.920516522493005,0.9806488332384746,0.7117117117117117,0.8229166666666666,0.9200218640125446,0.9795105293113261,0.6936936936936937,0.8105263157894738,0.9201588578600601,0.9783722253841776,0.6846846846846847,0.8,0.9159641540685703,0.9795105293113261,0.6936936936936937,0.8105263157894738,0.9264774664577703
31,0.981217985202049,0.7387387387387387,0.8324873096446701,0.9247700857014356,0.9823562891291975,0.7477477477477478,0.8426395939086295,0.9161759056819283,0.9840637450199203,0.7657657657657657,0.8585858585858586,0.9208863502427292,0.981217985202049,0.7207207207207207,0.8290155440414507,0.9222346227911717,0.9806488332384746,0.7297297297297297,0.826530612244898,0.925527461859245,0.981217985202049,0.7387387387387387,0.8324873096446701,0.9204694072924123
32,0.981217985202049,0.7567567567567568,0.835820895522388,0.9293513967471092,0.9789413773477519,0.7297297297297297,0.8140703517587939,0.9241430535647297,0.981217985202049,0.7387387387387387,0.8324873096446701,0.9205440500007209,0.9800796812749004,0.7207207207207207,0.8205128205128205,0.9276200187302994,0.9800796812749004,0.7477477477477478,0.8258706467661691,0.9188986200756907,0.981217985202049,0.7477477477477478,0.8341708542713568,0.9313328139521706
33,0.9783722253841776,0.6756756756756757,0.797872340425532,0.9033565007954534,0.9795105293113261,0.7117117117117117,0.8144329896907216,0.9042886506518901,0.9760956175298805,0.6486486486486487,0.7741935483870968,0.8935276426871974,0.9795105293113261,0.6936936936936937,0.8105263157894738,0.9032426183044557,0.9789413773477519,0.6756756756756757,0.8021390374331551,0.9097258750159082,0.977233921457029,0.6666666666666666,0.7872340425531914,0.8986734671910623
34,0.9766647694934547,0.6666666666666666,0.783068783068783,0.8662946460195008,0.9778030734206034,0.6846846846846847,0.7958115183246074,0.8708951768153457,0.9766647694934547,0.6666666666666666,0.783068783068783,0.8595532556220399,0.9766647694934547,0.6576576576576577,0.7807486631016042,0.8742367552639151,0.9766647694934547,0.6576576576576577,0.7807486631016042,0.8664939076251703,0.974957313602732,0.6486486486486487,0.7659574468085106,0.8687626104041768
35,0.9755264655663062,0.6216216216216216,0.7624309392265194,0.9115349716529586,0.977233921457029,0.6486486486486487,0.782608695652174,0.917160523708153,0.9760956175298805,0.6396396396396397,0.7717391304347826,0.9126001684591143,0.9783722253841776,0.6666666666666666,0.7956989247311829,0.9263822567960103,0.9755264655663062,0.6306306306306306,0.7650273224043717,0.9132420100888168,0.974957313602732,0.6216216216216216,0.7582417582417582,0.9135163710535139
36,0.9795105293113261,0.6846846846846847,0.8085106382978723,0.9254050523786441,0.981217985202049,0.7117117117117117,0.8272251308900522,0.9256377591796032,0.9800796812749004,0.6936936936936937,0.8148148148148149,0.9298546550016835,0.9783722253841776,0.6576576576576577,0.7934782608695653,0.9237196985841689,0.9829254410927718,0.7297297297297297,0.8437499999999999,0.929843643879187,0.9823562891291975,0.7207207207207207,0.837696335078534,0.9174993055359408
37,0.9789413773477519,0.6666666666666666,0.8,0.9078498512573353,0.9800796812749004,0.6846846846846847,0.8128342245989304,0.8930457427002134,0.9806488332384746,0.6936936936936937,0.8191489361702128,0.9010367549692229,0.9783722253841776,0.6576576576576577,0.7934782608695653,0.8998491201400851,0.9783722253841776,0.6576576576576577,0.7934782608695653,0.9061527179584208,0.9778030734206034,0.6576576576576577,0.7891891891891892,0.9058493602884944
38,0.9840637450199203,0.7747747747747747,0.86,0.9396325318868584,0.983494593056346,0.7747747747747747,0.8557213930348259,0.9393779265175114,0.9829254410927718,0.7567567567567568,0.8484848484848485,0.9350080109150476,0.9829254410927718,0.7567567567567568,0.8484848484848485,0.9335018959049562,0.983494593056346,0.7657657657657657,0.8542713567839195,0.9347154430110265,0.983494593056346,0.7567567567567568,0.8527918781725888,0.9305783369181674
39,0.9817871371656233,0.7297297297297297,0.8350515463917526,0.9311566161116018,0.9829254410927718,0.7387387387387387,0.8453608247422681,0.9354851678612577,0.9823562891291975,0.7207207207207207,0.837696335078534,0.9300448238636309,0.9806488332384746,0.6936936936936937,0.8191489361702128,0.9273866161065909,0.9823562891291975,0.7207207207207207,0.837696335078534,0.9174643431067676,0.9806488332384746,0.6936936936936937,0.8191489361702128,0.9353809821847004
40,0.9766647694934547,0.6576576576576577,0.7807486631016042,0.8968520891775835,0.977233921457029,0.6576576576576577,0.7849462365591398,0.9070800610657247,0.974957313602732,0.6396396396396397,0.7634408602150538,0.8939343877163848,0.9760956175298805,0.6306306306306306,0.7692307692307692,0.8952938238928416,0.9755264655663062,0.6306306306306306,0.7650273224043717,0.9006803069668463,0.9755264655663062,0.6396396396396397,0.7675675675675677,0.8931260476589571
41,0.9795105293113261,0.7027027027027027,0.8125,0.8857311161488379,0.9800796812749004,0.7027027027027027,0.8167539267015707,0.904767861016158,0.9789413773477519,0.7027027027027027,0.8082901554404146,0.8997219109729401,0.9806488332384746,0.7207207207207207,0.8247422680412371,0.8967272691368751,0.9800796812749004,0.7207207207207207,0.8205128205128205,0.8884826178603961,0.9800796812749004,0.7207207207207207,0.8205128205128205,0.8926880066702352
42,0.9823562891291975,0.7207207207207207,0.837696335078534,0.9132543041835987,0.981217985202049,0.7117117117117117,0.8272251308900522,0.9274958539629672,0.9800796812749004,0.6936936936936937,0.8148148148148149,0.9175673779761918,0.981217985202049,0.7027027027027027,0.8253968253968255,0.9170098111069026,0.9800796812749004,0.6936936936936937,0.8148148148148149,0.9067482194582037,0.9817871371656233,0.7117117117117117,0.8315789473684211,0.924343910177086
43,0.977233921457029,0.6576576576576577,0.7849462365591398,0.9064792612033129,0.9778030734206034,0.6756756756756757,0.7936507936507937,0.9100473874215836,0.9806488332384746,0.6936936936936937,0.8191489361702128,0.9126332916953066,0.9795105293113261,0.6756756756756757,0.8064516129032258,0.9014909303997634,0.9789413773477519,0.6846846846846847,0.8042328042328043,0.9111702939093892,0.977233921457029,0.6576576576576577,0.7849462365591398,0.9004504109194076
44,0.9800796812749004,0.6936936936936937,0.8148148148148149,0.920576923010411,0.981217985202049,0.7117117117117117,0.8272251308900522,0.9268582657116066,0.9829254410927718,0.7387387387387387,0.8453608247422681,0.9179883644326692,0.9800796812749004,0.6936936936936937,0.8148148148148149,0.9231936625626405,0.9823562891291975,0.7297297297297297,0.8393782383419688,0.9152307020945711,0.9795105293113261,0.6936936936936937,0.8105263157894738,0.9236672908405844
45,0.9800796812749004,0.7117117117117117,0.8186528497409327,0.8900518923284264,0.981217985202049,0.7207207207207207,0.8290155440414507,0.9067116155600996,0.9795105293113261,0.7117117117117117,0.8144329896907216,0.896619185067909,0.9823562891291975,0.7297297297297297,0.8393782383419688,0.9049460346499792,0.9823562891291975,0.7477477477477478,0.8426395939086295,0.8988185333354317,0.9789413773477519,0.6846846846846847,0.8042328042328043,0.8948104428542093
46,0.9823562891291975,0.7207207207207207,0.837696335078534,0.9278690648914188,0.9817871371656233,0.7477477477477478,0.8383838383838385,0.9330622608931577,0.9823562891291975,0.7207207207207207,0.837696335078534,0.9272153933528933,0.9829254410927718,0.7297297297297297,0.8437499999999999,0.9253431021206633,0.9823562891291975,0.7297297297297297,0.8393782383419688,0.9274663987686791,0.983494593056346,0.7477477477477478,0.8512820512820515,0.9314921573016501
47,0.9817871371656233,0.7297297297297297,0.8350515463917526,0.9429575609930042,0.9829254410927718,0.7837837837837838,0.8529411764705881,0.9394992268009872,0.9857712009106432,0.7837837837837838,0.8743718592964823,0.9498851556244454,0.9829254410927718,0.7567567567567568,0.8484848484848485,0.9421111491980192,0.9846328969834945,0.7657657657657657,0.8629441624365481,0.9448228916163108,0.9829254410927718,0.7477477477477478,0.8469387755102041,0.9435742316966304
48,0.9852020489470689,0.7657657657657657,0.8673469387755102,0.9409469639951537,0.9840637450199203,0.7747747747747747,0.86,0.9443395569791256,0.9829254410927718,0.7297297297297297,0.8437499999999999,0.9277291597852673,0.983494593056346,0.7477477477477478,0.8512820512820515,0.9433373865418142,0.9829254410927718,0.7477477477477478,0.8469387755102041,0.9403578868994311,0.983494593056346,0.7387387387387387,0.8497409326424871,0.9431690828182067
49,0.9789413773477519,0.6936936936936937,0.806282722513089,0.8913356885992825,0.977233921457029,0.6846846846846847,0.7916666666666666,0.9061751556562928,0.977233921457029,0.6936936936936937,0.7938144329896908,0.8901162680615609,0.9789413773477519,0.7027027027027027,0.8082901554404146,0.9016490626007845,0.9783722253841776,0.6936936936936937,0.8020833333333333,0.8956971620009226,0.9795105293113261,0.7027027027027027,0.8125,0.8884444310143917
50,0.981217985202049,0.7207207207207207,0.8290155440414507,0.9400037272615511,0.981217985202049,0.7207207207207207,0.8290155440414507,0.9390645431117826,0.983494593056346,0.7477477477477478,0.8512820512820515,0.9434510711992851,0.9829254410927718,0.7387387387387387,0.8453608247422681,0.9441376707011967,0.9806488332384746,0.7027027027027027,0.8210526315789474,0.9419531006891948,0.9823562891291975,0.7297297297297297,0.8393782383419688,0.9375449987142206
